,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
803,804,1.01,Good,E,SI1,63.5,58.0,6.28,6.35,4.01,4546
9299,9300,0.35,Ideal,D,VS2,60.6,57.0,4.63,4.58,2.79,964
334,335,1.5,Fair,G,VS2,64.4,56.0,7.16,7.09,4.59,12787
15211,15212,0.6,Ideal,E,SI1,61.5,56.0,5.51,5.39,3.35,1830
2678,2679,0.44,Very Good,G,VVS2,60.9,57.0,4.89,4.93,2.99,1081
19892,19893,0.61,Ideal,F,SI2,,55.0,5.47,5.55,3.38,1424
12813,12814,2.03,Premium,J,SI2,62.7,59.0,8.08,8.02,5.05,12380
23712,23713,0.9,Ideal,H,VVS2,62.0,57.0,6.2,6.15,3.83,4838
13730,13731,1.56,Ideal,G,SI1,61.2,56.0,7.51,7.49,4.59,11628
3689,3690,0.71,Very Good,H,SI1,62.4,58.0,5.67,5.7,3.55,2076
1676,1677,1.2,Good,D,SI1,63.5,55.0,6.7,6.78,4.28,5913
2549,2550,0.29,Ideal,F,VVS2,61.1,58.0,4.26,4.28,2.61,715
1061,1062,0.7,Very Good,G,SI1,62.8,56.0,5.64,5.66,3.55,2304
3369,3370,1.24,Ideal,H,SI2,62.0,56.0,6.87,6.9,4.27,5797
17574,17575,1.0,Very Good,H,VS2,64.7,56.0,6.23,6.29,4.05,5883
8540,8541,0.36,Ideal,D,SI1,60.3,56.0,4.65,4.61,2.79,851
17012,17013,1.51,Premium,G,SI2,62.8,56.0,7.3,7.22,4.56,8794
22072,22073,1.25,Premium,G,VVS1,58.2,61.0,7.1,7.05,4.12,8281
41,42,1.58,Premium,F,SI2,62.3,60.0,7.42,7.38,4.61,9290
9731,9732,0.5,Very Good,D,VS1,62.3,60.0,5.07,5.1,3.17,1804
1966,1967,1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,16316
11251,11252,0.6,Premium,E,SI1,60.8,58.0,5.46,5.5,3.33,1625
18471,18472,0.34,Premium,G,VS2,61.6,60.0,4.47,4.49,2.76,596
3213,3214,1.06,Premium,H,SI1,62.8,58.0,6.49,6.47,4.07,4872
4026,4027,0.35,Very Good,E,SI1,62.9,58.0,4.48,4.52,2.83,614
22955,22956,0.55,Ideal,G,VS2,62.2,54.0,5.27,5.28,3.28,1588
1698,1699,0.71,Good,G,SI1,62.3,56.0,5.68,5.72,3.55,2251
9872,9873,1.51,Ideal,J,VS1,61.9,56.0,7.41,7.35,4.57,8524
18633,18634,0.32,Ideal,D,SI1,62.8,56.0,4.35,4.34,2.73,756
8670,8671,0.31,Good,E,IF,57.7,55.0,4.51,4.6,2.63,912
3254,3255,0.78,Good,G,SI2,57.9,63.0,6.05,6.0,3.49,1720
2923,2924,0.75,Ideal,J,SI2,60.8,57.0,5.91,5.87,3.58,1944
14170,14171,1.32,Very Good,H,SI1,62.3,57.0,7.04,6.99,4.37,7270
12564,12565,0.3,Premium,F,VS2,62.8,58.0,4.29,4.24,2.68,776
4568,4569,0.33,Ideal,E,VS2,62.1,57.0,4.41,4.44,2.75,723
20328,20329,0.93,Premium,G,SI2,61.4,56.0,6.27,6.23,3.84,3019
18871,18872,1.27,Ideal,G,VS1,61.2,57.0,6.97,6.98,4.27,11206
741,742,0.37,Premium,G,SI1,62.1,60.0,4.54,4.61,2.84,551
25295,25296,1.09,Ideal,F,SI2,61.2,57.0,6.64,6.6,4.05,4981
18429,18430,0.54,Ideal,D,VS2,61.8,56.0,5.24,5.21,3.23,1993
2053,2054,1.21,Ideal,H,SI1,62.7,56.0,6.81,6.78,4.26,4249
4936,4937,0.5,Premium,F,VVS2,62.3,58.0,5.06,5.11,3.17,2052
21368,21369,0.5,Ideal,E,VS1,62.2,54.0,5.1,5.13,3.18,1665
10300,10301,0.41,Very Good,G,VS2,62.7,60.0,4.71,4.75,2.96,835
16145,16146,0.32,Ideal,I,VVS1,61.4,56.0,4.42,4.44,2.72,575
16534,16535,1.14,Ideal,H,SI1,61.6,56.0,6.72,6.74,4.14,7079
9358,9359,0.73,Ideal,D,VS1,61.1,57.0,5.85,5.81,3.56,3509
2545,2546,1.5,Premium,H,SI2,62.1,58.0,7.31,7.21,4.51,6458
7924,7925,0.28,Very Good,F,VVS2,62.6,55.0,4.18,4.2,2.62,707
18205,18206,1.2,Very Good,H,VS2,62.5,59.0,6.76,6.72,4.21,6870
101,102,0.7,Fair,E,SI1,65.2,58.0,5.57,5.54,3.62,2318
14186,14187,0.42,Ideal,D,VS2,62.2,55.0,4.75,4.8,2.97,1031
12776,12777,0.31,Good,D,SI2,63.1,54.0,4.33,4.38,2.75,462
133,134,0.31,Ideal,E,VVS1,61.3,56.0,4.38,4.4,2.69,1105
25571,25572,0.4,Good,I,VVS1,63.9,56.0,4.64,4.68,2.98,842
5953,5954,0.61,Premium,F,SI2,60.9,58.0,5.44,5.52,3.34,1303
222,223,0.55,Premium,E,VS2,61.4,57.0,5.29,5.27,3.24,1881
1827,1828,0.79,Premium,F,SI1,62.3,54.0,5.97,5.91,3.7,2862
2825,2826,1.32,Premium,F,SI1,59.7,60.0,7.11,7.16,4.26,7683
11732,11733,0.32,Premium,F,VVS1,61.3,58.0,4.37,4.4,2.69,926
16058,16059,1.2,Premium,F,SI2,62.8,57.0,6.78,6.73,4.24,5988
16398,16399,1.51,Premium,F,VS2,63.0,56.0,7.3,7.26,4.59,13248
1943,1944,1.53,Premium,G,VVS2,62.5,60.0,7.31,7.34,4.58,15365
8196,8197,1.08,Ideal,I,SI1,60.3,60.0,6.67,6.62,4.01,4757
25691,25692,0.4,Ideal,H,VVS2,61.1,55.0,4.75,4.78,2.91,868
21063,21064,1.0,Ideal,F,SI1,61.5,57.0,6.41,6.46,3.96,5197
25750,25751,1.37,Ideal,I,VS2,61.5,55.0,7.18,7.2,4.42,7346
4720,4721,0.71,Premium,D,SI1,59.2,62.0,5.83,5.8,3.44,2547
18126,18127,1.21,Premium,G,VVS2,59.6,60.0,6.89,6.91,4.11,9370
26093,26094,1.02,Good,G,VS1,64.3,57.0,6.28,6.34,4.06,5951
18552,18553,0.31,Premium,G,VS2,59.2,60.0,4.47,4.42,2.63,698
20729,20730,0.25,Ideal,F,VVS1,60.9,57.0,4.06,4.09,2.48,575
13837,13838,2.03,Very Good,E,SI2,63.0,61.0,7.99,8.04,5.05,15690
26280,26281,0.98,Good,H,SI2,57.9,56.0,6.51,6.47,3.76,2898
20498,20499,0.5,Good,D,SI1,60.5,57.0,5.1,5.14,3.1,1447
19906,19907,0.32,Ideal,G,VS2,62.4,55.0,4.39,4.36,2.73,672
19764,19765,2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,18522
9052,9053,0.81,Very Good,G,SI1,60.7,56.0,6.06,6.09,3.69,2733
8087,8088,2.26,Premium,H,SI2,61.1,57.0,8.45,8.4,5.15,13885
22713,22714,1.77,Premium,J,SI1,61.3,59.0,7.83,7.71,4.76,9704
8211,8212,0.3,Good,G,VVS2,63.3,57.0,4.23,4.27,2.69,684
23311,23312,1.18,Ideal,E,VVS2,61.6,58.0,6.78,6.82,4.19,11184
2012,2013,1.65,Ideal,G,VS2,61.9,57.0,7.65,7.61,4.72,14593
21442,21443,0.4,Ideal,E,VVS2,62.1,55.0,4.74,4.76,2.95,1158
5096,5097,0.53,Premium,G,VS2,59.9,60.0,5.28,5.24,3.15,1435
20209,20210,0.33,Ideal,H,VVS1,62.1,55.0,4.42,4.44,2.75,752
17855,17856,1.09,Premium,I,SI1,61.9,58.0,6.65,6.58,4.1,3968
22284,22285,1.41,Premium,G,SI1,59.5,59.0,7.35,7.3,4.36,8758
5598,5599,0.31,Fair,G,VS1,64.6,55.0,4.31,4.26,2.77,695
2447,2448,1.01,Premium,E,SI2,60.4,60.0,6.46,6.49,3.91,4790
7536,7537,0.32,Ideal,G,VVS1,61.1,55.0,4.46,4.48,2.73,796
1498,1499,0.4,Ideal,D,VS2,62.8,56.0,4.66,4.7,2.94,918
8459,8460,0.32,Ideal,G,SI1,61.4,57.0,4.41,4.38,2.7,612
10645,10646,0.37,Fair,F,SI1,65.3,56.0,4.53,4.47,2.94,527
14681,14682,0.24,Ideal,E,VVS1,60.2,57.0,4.02,4.07,2.44,678
9561,9562,1.03,Ideal,G,SI2,62.1,57.0,6.44,6.42,3.99,4470
2733,2734,0.54,Ideal,H,VS1,61.6,59.0,5.22,5.24,3.22,1630
26882,26883,0.5,Very Good,J,VS2,63.2,60.0,5.06,5.01,3.18,1059
4851,4852,0.31,Ideal,I,VVS1,62.1,56.0,4.35,4.38,2.71,571
15583,15584,0.31,Ideal,H,IF,62.2,54.0,4.38,4.4,2.73,789
5042,5043,0.3,Ideal,H,VVS2,62.1,56.0,4.32,4.28,2.67,776
7525,7526,0.31,Ideal,G,VVS1,61.7,57.0,4.38,4.34,2.69,1046
2485,2486,0.5,Ideal,F,IF,61.2,57.0,5.11,5.15,3.14,2419
9391,9392,0.51,Premium,G,VS2,62.7,58.0,5.12,5.09,3.2,1546
3328,3329,2.22,Ideal,G,SI2,60.9,57.0,8.47,8.42,5.14,15584
25280,25281,0.43,Premium,D,SI1,62.4,60.0,4.82,4.79,3.0,1022
21351,21352,0.91,Premium,E,SI1,61.9,61.0,6.14,6.11,3.79,3961
3519,3520,1.01,Premium,H,VS2,60.7,61.0,6.47,6.39,3.9,4921
829,830,0.34,Ideal,G,SI1,61.2,57.0,4.53,4.56,2.78,507
3988,3989,1.01,Very Good,E,VVS2,63.4,56.0,6.32,6.37,4.02,9642
16290,16291,0.32,Ideal,D,VS2,62.0,55.0,4.42,4.38,2.73,972
25011,25012,1.01,Very Good,G,VS2,62.9,60.0,6.28,6.35,3.97,5779
4653,4654,0.56,Ideal,E,SI1,60.9,56.0,5.35,5.32,3.25,1698
22632,22633,0.31,Ideal,E,VS1,61.9,56.0,4.32,4.34,2.68,734
16511,16512,0.92,Ideal,D,SI2,61.9,56.0,6.27,6.2,3.86,2840
4490,4491,1.0,Very Good,D,SI2,63.7,55.0,6.32,6.37,4.04,4419
5928,5929,1.07,Good,J,VS2,61.7,57.7,6.55,6.58,4.05,4602
26551,26552,1.22,Very Good,F,VS2,62.3,57.0,6.8,6.84,4.25,8575
20014,20015,0.34,Ideal,H,VS1,62.5,57.0,4.43,4.46,2.78,596
24004,24005,0.38,Ideal,E,VVS2,61.6,55.0,4.67,4.72,2.89,1100
26652,26653,2.0,Very Good,J,VS2,60.8,62.0,8.09,8.12,4.93,13043
19485,19486,1.12,Premium,E,SI2,61.1,58.0,6.73,6.69,4.1,5620
23949,23950,1.03,Ideal,E,SI1,62.1,56.0,6.43,6.48,4.01,5476
13630,13631,0.82,Very Good,J,SI1,,57.0,5.88,5.94,3.72,2313
22564,22565,1.01,Premium,G,IF,61.3,58.0,6.48,6.4,3.95,7352
19467,19468,0.92,Ideal,F,SI2,62.0,54.0,6.26,6.32,3.9,4065
22200,22201,1.5,Ideal,E,SI1,61.9,57.0,7.37,7.31,4.54,9828
8476,8477,0.32,Premium,F,VS2,61.3,60.0,4.4,4.37,2.69,828
5045,5046,2.31,Premium,I,SI2,62.9,58.0,8.43,8.34,5.27,17218
23427,23428,0.31,Ideal,D,VS2,61.0,54.0,4.38,4.44,2.69,656
14651,14652,1.53,Ideal,H,VVS2,62.2,57.0,7.32,7.37,4.57,13629
24950,24951,1.24,Ideal,F,VS1,61.5,54.0,6.93,6.89,4.25,10138
20375,20376,0.24,Premium,H,VVS1,61.2,58.0,3.96,4.01,2.44,432
25579,25580,0.31,Premium,G,VS2,58.8,62.0,4.41,4.4,2.59,605
3429,3430,0.37,Ideal,J,SI1,61.4,57.0,4.62,4.66,2.85,469
8904,8905,0.31,Ideal,E,VS1,61.8,56.0,4.34,4.37,2.69,734
20576,20577,0.81,Ideal,G,VS1,61.6,56.0,5.99,6.02,3.7,3923
12553,12554,0.32,Ideal,J,IF,62.2,55.0,4.44,4.4,2.75,684
25444,25445,1.13,Ideal,J,SI2,61.9,56.0,6.67,6.71,4.14,4371
14644,14645,0.3,Good,F,SI1,57.2,62.0,4.45,4.39,2.53,641
16049,16050,1.5,Good,F,SI2,62.6,64.0,7.25,7.19,4.52,8820
6657,6658,0.7,Very Good,D,SI1,58.3,62.0,5.78,5.84,3.39,2563
24497,24498,0.7,Good,D,VVS1,59.2,59.0,5.76,5.79,3.42,4198
17557,17558,0.52,Ideal,D,SI1,61.5,55.0,5.19,5.22,3.2,1600
13572,13573,1.25,Premium,I,VS2,61.0,59.0,6.98,6.89,4.23,6084
7416,7417,0.34,Ideal,D,VS2,60.8,57.0,4.52,4.56,2.76,730
14625,14626,0.4,Ideal,I,VS1,61.9,57.0,4.73,4.74,2.93,736
22131,22132,0.7,Ideal,E,SI1,61.4,57.0,5.71,5.75,3.52,2656
12374,12375,1.69,Premium,F,SI2,62.4,58.0,7.65,7.57,4.75,9275
10950,10951,1.01,Premium,G,SI2,,60.0,6.48,6.44,3.88,4270
20804,20805,0.35,Ideal,D,SI1,62.1,57.0,4.49,4.47,2.78,772
12086,12087,0.33,Ideal,H,SI1,60.6,56.0,4.46,4.49,2.72,564
18177,18178,1.16,Good,H,SI1,64.0,58.0,6.63,6.56,4.22,5678
9532,9533,0.86,Very Good,G,SI2,62.6,56.0,6.01,6.07,3.78,2967
5975,5976,0.46,Ideal,F,SI1,62.5,56.0,4.94,4.92,3.08,1018
353,354,0.7,Very Good,E,SI1,61.7,62.0,5.64,5.68,3.49,2569
13217,13218,0.51,Very Good,E,IF,63.3,58.0,5.03,5.08,3.2,2925
12660,12661,0.71,Ideal,G,SI1,60.5,56.4,5.76,5.8,3.5,2751
18758,18759,0.81,Ideal,E,SI2,61.4,57.0,6.0,5.97,3.68,2673
15716,15717,0.7,Premium,G,VS2,62.1,60.0,5.71,5.65,3.53,2314
22769,22770,1.0,Very Good,G,VVS2,63.1,58.0,6.37,6.33,4.01,7589
15014,15015,0.52,Ideal,D,VS2,61.3,56.0,5.15,5.2,3.17,1822
13339,13340,0.35,Very Good,J,SI1,63.3,56.0,4.53,4.5,2.86,526
4275,4276,0.5,Very Good,D,VS1,62.3,57.0,5.04,5.07,3.15,1847
22828,22829,0.37,Very Good,E,VS2,64.0,55.0,4.52,4.57,2.91,728
7442,7443,0.32,Ideal,D,SI1,62.0,57.0,4.42,4.38,2.73,756
5359,5360,0.9,Very Good,I,VS2,63.4,56.0,6.09,6.12,3.87,3489
10423,10424,0.3,Premium,G,VVS2,61.3,57.0,4.33,4.29,2.64,878
9811,9812,1.7,Premium,G,VVS2,59.8,59.0,7.7,7.75,4.62,18718
3571,3572,1.3,Good,J,SI1,64.0,58.0,6.91,6.84,4.4,5242
26018,26019,1.53,Very Good,J,VS2,62.9,59.0,7.31,7.34,4.61,7418
9577,9578,0.56,Ideal,G,IF,61.7,55.0,5.29,5.34,3.28,2298
12451,12452,1.22,Good,G,VS2,59.9,61.0,6.88,6.91,4.13,8533
10834,10835,2.03,Premium,J,SI1,62.1,59.0,8.12,8.06,5.02,12979
15564,15565,0.4,Very Good,E,VS2,63.8,55.0,4.66,4.71,2.99,791
20002,20003,1.05,Ideal,H,SI1,61.1,56.0,6.52,6.58,4.0,5200
23642,23643,0.55,Ideal,F,VS2,61.3,54.0,5.27,5.33,3.25,1649
22033,22034,0.49,Very Good,H,VVS2,62.3,57.0,5.02,5.05,3.14,1588
25703,25704,1.05,Ideal,H,SI1,61.3,57.0,6.51,6.54,4.0,6255
26010,26011,0.7,Ideal,G,VVS2,61.6,57.0,5.74,5.71,3.53,3725
17269,17270,0.39,Premium,G,VS2,59.8,61.0,4.75,4.72,2.83,942
26244,26245,1.55,Ideal,F,SI1,61.9,55.0,7.47,7.42,4.61,14220
25136,25137,1.39,Very Good,E,VS1,60.9,61.0,7.15,7.19,4.37,12614
16579,16580,0.91,Very Good,G,SI1,62.8,56.0,6.16,6.2,3.88,4922
21283,21284,0.7,Good,F,SI2,64.1,58.0,5.58,5.53,3.56,1792
7,8,0.5,Premium,E,SI1,61.5,62.0,5.09,5.06,3.12,1415
5331,5332,1.2,Fair,H,SI2,64.8,60.0,6.55,6.59,4.26,4916
1255,1256,1.41,Very Good,F,SI2,61.4,59.0,7.17,7.2,4.41,7215
26567,26568,0.24,Very Good,E,SI1,59.9,58.0,4.06,4.1,2.44,571
3958,3959,0.9,Very Good,E,SI1,63.1,61.0,6.18,6.14,3.89,4092
23153,23154,0.73,Ideal,E,SI2,61.0,57.0,5.81,5.87,3.56,2434
2090,2091,0.3,Ideal,F,VS2,62.0,54.0,4.34,4.31,2.68,776
290,291,0.77,Good,H,SI1,63.0,65.0,5.82,5.74,3.64,2393
18861,18862,0.9,Premium,G,SI1,61.0,60.0,6.17,6.12,3.75,3879
15054,15055,1.01,Good,E,SI1,63.4,59.0,6.34,6.38,4.03,4912
7661,7662,0.63,Fair,E,SI1,64.6,57.7,5.36,5.41,3.47,1952
6179,6180,1.01,Very Good,D,SI1,63.2,58.0,6.28,6.34,3.99,5654
19917,19918,1.24,Premium,E,I1,61.1,62.0,6.91,6.86,4.21,3528
17992,17993,2.02,Premium,G,SI2,61.0,58.0,8.15,8.22,4.99,15498
4235,4236,0.5,Fair,F,SI1,65.1,59.0,5.01,4.92,3.23,994
17605,17606,1.15,Premium,D,SI1,63.0,57.0,6.69,6.64,4.2,6942
15741,15742,0.96,Premium,I,VS2,60.6,60.0,6.47,6.4,3.9,3808
8304,8305,2.3,Premium,J,SI2,59.7,58.0,8.63,8.68,5.17,13560
10761,10762,0.42,Premium,D,SI1,62.1,59.0,4.77,4.79,2.97,810
10881,10882,0.66,Ideal,D,VVS2,61.3,57.0,5.59,5.63,3.44,3915
18436,18437,0.7,Very Good,F,VS1,61.8,59.0,5.66,5.76,3.53,2895
7627,7628,0.42,Ideal,G,VVS1,60.6,56.0,4.86,4.88,2.95,1179
20589,20590,0.57,Very Good,E,VS1,62.9,56.0,5.31,5.35,3.35,1942
9153,9154,0.92,Ideal,G,SI2,63.0,57.0,6.16,6.13,3.87,3697
6660,6661,0.73,Ideal,F,VS2,62.7,58.0,5.72,5.77,3.6,2939
25364,25365,0.56,Very Good,G,VS1,60.5,59.0,5.26,5.31,3.2,1819
7809,7810,0.52,Ideal,D,SI1,61.8,56.0,5.18,5.15,3.19,1605
17612,17613,0.52,Ideal,G,VVS2,59.8,57.0,5.24,5.26,3.14,1911
25914,25915,1.5,Premium,D,VS1,62.8,58.0,7.29,7.26,4.57,16793
20134,20135,0.71,Premium,J,VS2,60.1,61.0,5.82,5.77,3.48,1968
22329,22330,1.55,Ideal,D,VS2,62.1,59.0,7.34,7.37,4.57,15887
14206,14207,1.27,Premium,I,SI2,62.0,60.0,6.91,6.86,4.27,4836
22082,22083,0.87,Very Good,H,SI1,62.2,57.0,6.05,6.11,3.78,3180
5685,5686,1.01,Very Good,G,SI1,63.2,59.0,6.36,6.32,4.01,5113
25252,25253,1.05,Premium,G,VS2,62.5,55.0,6.59,6.54,4.1,5927
25424,25425,0.35,Very Good,G,IF,62.1,54.0,4.53,4.57,2.82,892
25238,25239,0.7,Ideal,E,VS1,62.3,54.0,5.67,5.72,3.55,2930
14736,14737,1.71,Premium,I,VS2,61.5,58.0,7.74,7.54,4.7,9116
6215,6216,0.71,Good,F,SI2,64.1,60.0,0.0,0.0,0.0,2130
5720,5721,0.32,Premium,E,SI2,59.7,60.0,4.43,4.45,2.65,449
14971,14972,0.31,Premium,H,VVS2,61.4,58.0,4.35,4.32,2.66,802
25040,25041,1.05,Ideal,I,VS2,60.3,57.0,6.57,6.63,3.98,5697
9222,9223,1.28,Premium,H,SI1,62.0,62.0,6.93,6.87,4.28,6595
16777,16778,1.0,Premium,D,SI2,62.4,58.0,6.36,6.33,3.96,4816
4031,4032,0.5,Very Good,D,SI1,61.9,61.0,5.09,5.12,3.16,1436
2375,2376,1.0,Premium,G,VS2,60.6,59.0,6.42,6.36,3.87,6451
14341,14342,1.55,Very Good,H,SI1,61.6,54.0,7.41,7.47,4.58,9818
21007,21008,0.3,Very Good,E,VVS1,63.5,57.0,4.27,4.23,2.7,995
3884,3885,0.55,Ideal,G,SI1,60.9,56.0,5.3,5.32,3.24,1421
20992,20993,0.9,Premium,G,I1,62.3,53.0,6.16,6.12,3.82,1939
14776,14777,1.12,Ideal,F,SI2,61.8,55.0,6.69,6.66,4.13,4140
6870,6871,0.7,Very Good,G,SI2,58.2,63.0,5.82,5.79,3.38,1966
18887,18888,0.71,Very Good,E,VS2,63.3,59.0,5.62,5.66,3.57,2922
9409,9410,1.01,Premium,E,VS2,59.5,60.0,6.3,6.24,3.73,5882
12930,12931,2.1,Fair,G,SI2,61.4,66.0,8.26,8.19,5.05,11946
123,124,0.77,Ideal,E,SI2,60.7,55.0,6.01,5.95,3.63,2834
1405,1406,1.01,Premium,G,SI1,62.5,60.0,6.39,6.34,3.98,4672
7317,7318,0.51,Premium,G,VS2,61.2,60.0,5.17,5.12,3.15,1546
14185,14186,0.3,Ideal,F,VVS1,62.4,56.0,4.31,4.28,2.68,1114
15720,15721,1.01,Premium,E,VS2,62.9,59.0,6.36,6.3,3.98,6606
25990,25991,1.53,Ideal,J,VS2,61.4,58.0,7.35,7.43,4.54,7550
13889,13890,0.51,Ideal,F,SI2,61.1,56.0,5.18,5.21,3.17,1139
20044,20045,0.7,Very Good,G,VS2,63.1,58.0,5.69,5.66,3.58,2302
25143,25144,0.7,Ideal,F,SI1,62.0,55.0,5.72,5.7,3.54,2415
24258,24259,1.28,Ideal,H,VS2,62.3,56.0,6.97,6.89,4.32,7098
20593,20594,0.54,Ideal,G,VVS2,61.8,55.0,5.22,5.3,3.24,1829
11389,11390,1.01,Ideal,G,IF,62.8,57.0,6.42,6.39,4.02,8778
1768,1769,0.51,Ideal,D,SI1,61.7,55.0,5.11,5.16,3.17,1569
26851,26852,0.32,Ideal,D,VVS2,62.3,54.0,4.42,4.44,2.76,841
8834,8835,0.56,Ideal,G,VS2,62.1,56.0,5.31,5.29,3.29,1698
15705,15706,1.02,Ideal,D,SI2,58.9,61.0,6.56,6.62,3.88,4971
1243,1244,0.35,Very Good,H,VVS2,63.0,55.0,4.48,4.5,2.83,706
21246,21247,0.63,Premium,I,VS1,62.0,58.0,5.52,5.45,3.4,1667
8528,8529,1.16,Premium,G,SI1,62.5,58.0,6.73,6.68,4.19,6132
20517,20518,0.3,Ideal,E,VS2,61.6,55.0,4.31,4.33,2.66,658
24797,24798,0.54,Ideal,F,VS1,61.8,54.0,5.24,5.27,3.25,1724
12284,12285,0.36,Ideal,D,SI1,61.9,55.7,4.57,4.59,2.84,713
25862,25863,0.9,Fair,G,SI1,72.9,54.0,5.74,5.67,4.16,2691
900,901,0.56,Ideal,G,VVS2,61.6,56.0,5.29,5.32,3.27,1976
4410,4411,0.54,Ideal,E,VS2,61.4,57.0,5.25,5.21,3.21,1847
2255,2256,0.9,Premium,F,SI1,61.7,62.0,6.19,6.13,3.8,3936
3769,3770,1.01,Good,D,SI1,63.9,61.0,6.31,6.28,4.02,5147
